Date,Open,High,Low,Close,Adj Close,Volume
1992-10-08,172.490005,173.720001,172.490005,173.649994,173.649994,0
1992-10-11,null,null,null,null,null,null
1992-10-12,173.649994,173.649994,173.649994,173.649994,173.649994,0
1992-10-13,173.649994,173.649994,173.649994,173.649994,173.649994,0
1992-10-14,173.649994,173.649994,173.649994,173.649994,173.649994,0
1992-10-15,173.649994,173.649994,173.649994,173.649994,173.649994,0
1992-10-18,null,null,null,null,null,null
1992-10-19,173.649994,173.649994,173.649994,173.649994,173.649994,0
1992-10-20,176.199997,176.889999,175.919998,175.990005,175.990005,0
1992-10-21,176.270004,177.649994,176.270004,177.600006,177.600006,0
1992-10-22,178.919998,179.729996,178.350006,178.500000,178.500000,0
1992-10-25,null,null,null,null,null,null
1992-10-26,180.179993,181.179993,180.179993,181.080002,181.080002,0
1992-10-27,182.429993,182.429993,180.880005,180.940002,180.940002,0
1992-10-28,178.970001,181.750000,178.970001,181.630005,181.630005,0
1992-10-29,182.369995,183.800003,178.970001,183.679993,183.679993,0
1992-11-01,null,null,null,null,null,null
1992-11-02,187.190002,187.190002,186.539993,187.070007,187.070007,0
1992-11-03,188.710007,189.300003,187.059998,187.149994,187.149994,0
1992-11-04,181.679993,182.240005,180.100006,180.130005,180.130005,0
1992-11-05,179.300003,181.429993,179.300003,181.070007,181.070007,0
1992-11-08,null,null,null,null,null,null
1992-11-09,179.279999,179.279999,173.000000,173.100006,173.100006,0
1992-11-10,173.179993,173.179993,171.369995,172.929993,172.929993,0
1992-11-11,174.089996,177.039993,174.089996,176.970001,176.970001,0
1992-11-12,180.889999,180.889999,179.779999,179.779999,179.779999,0
1992-11-15,null,null,null,null,null,null
1992-11-16,179.529999,179.529999,176.869995,177.000000,177.000000,0
1992-11-17,175.589996,176.429993,175.460007,176.369995,176.369995,0
1992-11-18,173.899994,178.580002,173.809998,178.440002,178.440002,0
1992-11-19,180.330002,180.839996,179.830002,179.880005,179.880005,0
1992-11-22,null,null,null,null,null,null
1992-11-23,182.089996,184.589996,182.089996,184.550003,184.550003,0
1992-11-24,185.309998,185.309998,183.309998,184.339996,184.339996,0
1992-11-25,183.339996,184.130005,183.339996,183.990005,183.990005,0
1992-11-26,184.059998,186.399994,184.059998,186.279999,186.279999,0
1992-11-29,null,null,null,null,null,null
1992-11-30,183.899994,184.990005,183.899994,184.550003,184.550003,0
1992-12-01,184.110001,184.869995,184.110001,184.839996,184.839996,0
1992-12-02,183.580002,183.770004,182.960007,183.089996,183.089996,0
1992-12-03,179.369995,180.179993,179.210007,180.080002,180.080002,0
1992-12-06,null,null,null,null,null,null
1992-12-07,184.309998,185.580002,184.309998,185.470001,185.470001,0
1992-12-08,185.649994,186.520004,184.619995,184.770004,184.770004,0
1992-12-09,184.369995,187.550003,184.369995,187.470001,187.470001,0
1992-12-10,189.110001,189.460007,187.630005,187.679993,187.679993,0
1992-12-13,null,null,null,null,null,null
1992-12-14,187.339996,188.160004,186.960007,187.339996,187.339996,0
1992-12-15,186.559998,186.750000,185.910004,185.910004,185.910004,0
1992-12-16,185.250000,185.800003,185.250000,185.740005,185.740005,0
1992-12-17,183.839996,186.330002,183.839996,183.839996,183.839996,0
1992-12-20,null,null,null,null,null,null
1992-12-21,191.059998,191.559998,191.029999,191.369995,191.369995,0
1992-12-22,190.929993,192.899994,190.929993,192.779999,192.779999,0
1992-12-23,193.809998,195.160004,193.809998,195.000000,195.000000,0
1992-12-24,195.059998,195.119995,194.029999,194.589996,194.589996,0
1992-12-27,null,null,null,null,null,null
1992-12-28,191.440002,193.830002,191.440002,193.710007,193.710007,0
1992-12-29,195.240005,195.240005,194.529999,194.619995,194.619995,0
1992-12-30,194.089996,194.210007,193.410004,194.179993,194.179993,0
1992-12-31,194.520004,195.960007,194.520004,195.960007,195.960007,0
1993-01-03,null,null,null,null,null,null
1993-01-04,203.460007,203.880005,202.750000,202.800003,202.800003,0
1993-01-05,201.880005,202.410004,201.110001,202.369995,202.369995,0
1993-01-06,200.990005,205.440002,200.990005,205.440002,205.440002,0
1993-01-07,203.929993,207.399994,203.929993,207.399994,207.399994,0
1993-01-10,null,null,null,null,null,null
1993-01-11,210.360001,210.360001,207.190002,207.190002,207.190002,0
1993-01-12,206.809998,206.960007,205.649994,205.779999,205.779999,0
1993-01-13,202.149994,203.399994,201.960007,203.399994,203.399994,0
1993-01-14,205.000000,207.740005,205.000000,207.679993,207.679993,0
1993-01-17,null,null,null,null,null,null
1993-01-18,209.679993,210.960007,209.679993,210.520004,210.520004,0
1993-01-19,213.869995,215.059998,213.869995,215.020004,215.020004,0
1993-01-20,212.330002,214.309998,212.330002,214.089996,214.089996,0
1993-01-21,211.990005,211.990005,209.910004,210.490005,210.490005,0
1993-01-24,null,null,null,null,null,null
1993-01-25,213.050003,213.050003,211.270004,211.360001,211.360001,0
1993-01-26,210.179993,210.910004,208.960007,209.149994,209.149994,0
1993-01-27,205.750000,206.179993,205.750000,206.179993,206.179993,0
1993-01-28,203.940002,203.990005,202.240005,202.559998,202.559998,0
1993-01-31,null,null,null,null,null,null
1993-02-01,209.529999,210.770004,209.529999,210.649994,210.649994,0
1993-02-02,211.899994,212.580002,211.899994,212.500000,212.500000,0
1993-02-03,214.029999,214.809998,214.029999,214.589996,214.589996,0
1993-02-04,212.960007,215.160004,212.940002,215.119995,215.119995,0
1993-02-07,null,null,null,null,null,null
1993-02-08,216.529999,218.160004,216.529999,218.160004,218.160004,0
1993-02-09,213.399994,213.750000,213.179993,213.369995,213.369995,0
1993-02-10,213.309998,215.220001,213.309998,215.050003,215.050003,0
1993-02-11,209.929993,209.929993,206.029999,206.080002,206.080002,0
1993-02-14,null,null,null,null,null,null
1993-02-15,199.610001,202.740005,199.610001,202.679993,202.679993,0
1993-02-16,207.880005,208.300003,207.880005,208.210007,208.210007,0
1993-02-17,201.880005,203.279999,201.880005,202.580002,202.580002,0
1993-02-18,192.149994,194.940002,191.360001,194.619995,194.619995,0
1993-02-21,null,null,null,null,null,null
1993-02-22,201.490005,201.750000,195.429993,195.440002,195.440002,0
1993-02-23,184.190002,187.179993,184.190002,187.020004,187.020004,0
1993-02-24,189.059998,189.059998,187.660004,188.910004,188.910004,0
1993-02-25,192.910004,194.179993,192.750000,194.179993,194.179993,0
1993-02-28,null,null,null,null,null,null
1993-03-01,191.339996,195.000000,191.339996,194.869995,194.869995,0
1993-03-02,193.300003,193.970001,193.300003,193.580002,193.580002,0
1993-03-03,194.149994,195.529999,194.149994,194.929993,194.929993,0
1993-03-04,192.630005,193.860001,192.630005,193.740005,193.740005,0
1993-03-07,null,null,null,null,null,null
1993-03-08,196.179993,197.529999,196.179993,197.429993,197.429993,0
1993-03-09,200.089996,200.460007,197.869995,197.960007,197.960007,0
1993-03-10,199.779999,202.369995,199.779999,202.270004,202.270004,0
1993-03-11,203.330002,205.929993,203.330002,205.860001,205.860001,0
1993-03-14,null,null,null,null,null,null
1993-03-15,207.300003,208.000000,207.210007,207.210007,207.210007,0
1993-03-16,206.580002,207.740005,206.580002,207.740005,207.740005,0
1993-03-17,208.179993,210.000000,208.179993,209.990005,209.990005,0
1993-03-18,208.179993,210.000000,208.179993,208.740005,208.740005,0
1993-03-21,null,null,null,null,null,null
1993-03-22,206.380005,206.380005,205.410004,205.500000,205.500000,0
1993-03-23,202.020004,205.880005,201.779999,205.830002,205.830002,0
1993-03-24,207.270004,207.589996,205.960007,206.929993,206.929993,0
1993-03-25,205.970001,206.960007,205.899994,206.899994,206.899994,0
1993-03-28,null,null,null,null,null,null
1993-03-29,209.089996,209.550003,208.649994,208.690002,208.690002,0
1993-03-30,205.839996,206.500000,205.839996,206.279999,206.279999,0
1993-03-31,206.250000,207.399994,206.080002,206.490005,206.490005,0
1993-04-01,206.610001,208.559998,206.610001,208.360001,208.360001,0
1993-04-04,null,null,null,null,null,null
1993-04-05,206.809998,207.559998,206.809998,207.470001,207.470001,0
1993-04-06,207.470001,207.470001,207.470001,207.470001,207.470001,0
1993-04-07,205.839996,207.360001,205.839996,207.250000,207.250000,0
1993-04-08,207.460007,210.809998,207.460007,210.710007,210.710007,0
1993-04-11,null,null,null,null,null,null
1993-04-12,210.710007,210.710007,210.710007,210.710007,210.710007,0
1993-04-13,215.119995,215.529999,214.809998,215.429993,215.429993,0
1993-04-14,215.110001,216.089996,215.110001,215.210007,215.210007,0
1993-04-15,214.779999,216.589996,214.779999,216.529999,216.529999,0
1993-04-18,null,null,null,null,null,null
1993-04-19,214.720001,214.779999,211.300003,211.300003,211.300003,0
1993-04-20,211.160004,213.460007,211.160004,213.250000,213.250000,0
1993-04-21,214.809998,216.410004,214.809998,216.410004,216.410004,0
1993-04-22,216.929993,216.929993,215.089996,215.410004,215.410004,0
1993-04-25,null,null,null,null,null,null
1993-04-26,215.410004,215.410004,215.410004,215.410004,215.410004,0
1993-04-27,213.910004,213.910004,212.490005,212.589996,212.589996,0
1993-04-28,210.059998,210.460007,208.000000,208.029999,208.029999,0
1993-04-29,206.630005,206.630005,205.089996,205.809998,205.809998,0
1993-05-02,null,null,null,null,null,null
1993-05-03,207.619995,209.080002,207.619995,209.080002,209.080002,0
1993-05-04,208.580002,208.580002,208.250000,208.460007,208.460007,0
1993-05-05,210.740005,211.220001,210.240005,210.339996,210.339996,0
1993-05-06,209.440002,209.440002,208.710007,209.210007,209.210007,0
1993-05-09,null,null,null,null,null,null
1993-05-10,211.960007,215.149994,211.960007,215.110001,215.110001,0
1993-05-11,212.710007,215.779999,212.710007,215.690002,215.690002,0
1993-05-12,216.559998,217.190002,215.610001,215.630005,215.630005,0
1993-05-13,212.369995,213.119995,212.369995,212.720001,212.720001,0
1993-05-16,null,null,null,null,null,null
1993-05-17,207.529999,210.399994,207.529999,210.279999,210.279999,0
1993-05-18,211.869995,211.869995,209.190002,209.250000,209.250000,0
1993-05-19,206.399994,206.839996,206.250000,206.440002,206.440002,0
1993-05-20,207.589996,207.770004,206.910004,206.970001,206.970001,0
1993-05-23,null,null,null,null,null,null
1993-05-24,200.110001,200.960007,198.779999,200.710007,200.710007,0
1993-05-25,200.710007,200.710007,200.710007,200.710007,200.710007,0
